entry!census!person
1!1811 Canadian Census!I1195
2!1811 Canadian Census!I1189
3!1811 Canadian Census!I1185
4!1811 Canadian Census!I1196
5!1811 Canadian Census!I1188
6!1811 Canadian Census!I398
7!1811 Canadian Census!I1198
8!1811 Canadian Census!I1190
9!1811 Canadian Census!I1194
10!1811 Canadian Census!I1183
11!1811 Canadian Census!I1197
12!1811 Canadian Census!I1186
13!1841 UK Census!I400
14!1841 UK Census!I455
15!1841 UK Census!I394
16!1841 UK Census!I333
17!1841 UK Census!I485
18!1841 UK Census!I616
19!1841 UK Census!I85
20!1841 UK Census!I84
21!1841 UK Census!I118
22!1841 UK Census!I600
23!1841 UK Census!I150
24!1841 UK Census!I382
25!1841 UK Census!I861
26!1841 UK Census!I163
27!1841 UK Census!I81
28!1841 UK Census!I169
29!1841 UK Census!I187
30!1841 UK Census!I58
31!1841 UK Census!I59
32!1841 UK Census!I587
33!1841 UK Census!I443
34!1841 UK Census!I83
35!1841 UK Census!I209
36!1841 UK Census!I928
37!1841 UK Census!I102
38!1841 UK Census!I860
39!1841 UK Census!I464
40!1841 UK Census!I210
41!1841 UK Census!I782
42!1841 UK Census!I445
43!1841 UK Census!I597
44!1841 UK Census!I49
45!1841 UK Census!I522
46!1841 UK Census!I243
47!1841 UK Census!I601
48!1841 UK Census!I149
49!1841 UK Census!I104
50!1841 UK Census!I90
51!1841 UK Census!I612
52!1841 UK Census!I99
53!1841 UK Census!I168
54!1841 UK Census!I479
55!1841 UK Census!I401
56!1841 UK Census!I71
57!1841 UK Census!I418
58!1841 UK Census!I200
59!1841 UK Census!I179
60!1841 UK Census!I87
61!1841 UK Census!I586
62!1841 UK Census!I483
63!1841 UK Census!I396
64!1841 UK Census!I173
65!1841 UK Census!I385
66!1841 UK Census!I520
67!1841 UK Census!I98
68!1841 UK Census!I73
69!1841 UK Census!I36
70!1841 UK Census!I228
71!1841 UK Census!I121
72!1841 UK Census!I185
73!1841 UK Census!I536
74!1841 UK Census!I247
75!1841 UK Census!I48
76!1841 UK Census!I82
77!1841 UK Census!I166
78!1841 UK Census!I474
79!1841 UK Census!I463
80!1841 UK Census!I159
81!1841 UK Census!I231
82!1841 UK Census!I352
83!1841 UK Census!I88
