date|xref|change
20210314|"I3554"|"Added new person"
20210314|"I970"|"Added date of birth as 1929/02/02"
20210314|"I970"|"Added date of marriage as 1956/11/17"
20210314|"I970"|"Added date of death as 2021/03/12"
20210314|"I1279"|"Added date of birth as 1911/02/12"
20210314|"I1279"|"Changed date of marriage from 1936 to 1936/06/27"
20210314|"I1283"|"Changed date of marriage from 1936 to 1936/06/27"
20210314|"I2303"|"Added date of birth as 1905/07/17"
20210314|"I2303"|"Added date of death as 1974/01/01"
20210314|"I3226"|"Changed date of death from 1977/10/01 to 1977/10/17"
20210314|"I3568"|"Added date of birth as 1927/08/18"
20210314|"I3568"|"Added date of death as 2008/06/13"
20210401|"I1182"|"Added new person"
20210401|"I1748"|"Added new person"
20210401|"I1749"|"Added new person"
20210401|"I3575"|"Added new person"
20210401|"I3579"|"Added new person"
20210401|"I3581"|"Added new person"
20210401|"I3582"|"Added new person"
20210401|"I3583"|"Added new person"
20210401|"I3584"|"Added new person"
20210401|"I1184"|"Added date of birth as 1891/11/15"
20210401|"I1184"|"Added date of marriage as 1915/05/05"
20210401|"I1184"|"Added date of death as 1953/01/10"
20210401|"I1269"|"Changed date of birth from 1892/06/01 to 1892/06/28"
20210401|"I2268"|"Added date of death as 1946/09/07"
20210401|"I2734"|"Added date of birth as 1958/11/20"
20210401|"I2734"|"Added date of death as 1958/11/20"
20210401|"I3543"|"Added date of birth as 1877/01/04"
20210401|"I3571"|"Added date of birth as 1927/05/21"
20210401|"I3571"|"Added date of death as 1981/11/07"
20210402|"I2750"|"Added date of marriage as 1940/03/30"
20210402|"I2921"|"Added date of marriage as 1940/03/30"
